User's manual r01uh0330ej0210_rl78l12; Version 1.00; November 15, 2016
MK1L,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
MK1H,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
KRMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK04,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK05,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK06,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK07,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
WDTIPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
LVIPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR01,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR02,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR03,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR04,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR05,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR00L,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PR00H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
DMAPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
DMAPR01,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
CSIPR000,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
STPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
CSIPR001,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
SRPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
SREPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR001H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR000,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR01,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
TMPR003H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
IICAPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR001,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR002,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR003,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
ADPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
RTCPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
ITPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR01L,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PR01H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
KRPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR004,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR005,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR006,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR007,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR10,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
WDTIPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
LVIPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR10,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR11,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR12,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR13,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR14,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR15,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR10L,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PR10H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
DMAPR10,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
DMAPR11,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
CSIPR100,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
STPR10,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
CSIPR101,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
SRPR10,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
SREPR10,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR101H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR100,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR11,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
TMPR103H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
IICAPR10,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR101,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR102,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR103,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
ADPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
RTCPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
ITPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR11L,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PR11H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
KRPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR104,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR105,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR106,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
TMPR107,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
MDAL,"15.2.1  Multiplication/division data register A (MDAH, MDAL)","Figure15-2.FormatofMultiplication/DivisionDataRegisterA(MDAH,MDAL)",,,
MDAH,"15.2.1  Multiplication/division data register A (MDAH, MDAL)","Figure15-2.FormatofMultiplication/DivisionDataRegisterA(MDAH,MDAL)",,,
MDBH,"15.2.2  Multiplication/division data register B (MDBL, MDBH)","Figure15-3.FormatofMultiplication/DivisionDataRegisterB(MDBH,MDBL)",,,
MDBL,"15.2.2  Multiplication/division data register B (MDBL, MDBH)","Figure15-3.FormatofMultiplication/DivisionDataRegisterB(MDBH,MDBL)",,,
PMC,3.1.2  Mirror area,Figure3-4.FormatofConfigurationofProcessorModeControlRegister(PMC),,,
MAA,3.1.2  Mirror area,Figure3-4.FormatofConfigurationofProcessorModeControlRegister(PMC),2,,
